City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,Bom Jesus,-9.0744,-44.3586,79.75,50,58,6.11,BR,2022-06-07 11:55:18
270,Pano Aqil,27.8569,69.1116,111.09,6,0,6.55,PK,2022-06-07 11:55:18
271,Severodvinsk,64.5635,39.8302,51.91,65,83,3.06,RU,2022-06-07 11:55:18
272,Bathsheba,13.2167,-59.5167,83.01,78,20,19.57,BB,2022-06-07 11:52:34
273,Bela Vista,-22.1089,-56.5211,66.7,88,37,5.35,BR,2022-06-07 11:55:19
274,Pantai Remis,4.4557,100.6288,84.22,81,96,3.74,MY,2022-06-07 11:55:19
275,Thompson,55.7435,-97.8558,41.16,75,20,6.91,CA,2022-06-07 11:54:15
276,Trapani,37.8333,12.6667,93.27,32,7,13.11,IT,2022-06-07 11:56:19
277,Broome,42.2506,-75.833,66.52,57,100,8.99,US,2022-06-07 11:56:19
278,Yining,29.0361,114.5636,74.91,84,56,3.24,CN,2022-06-07 11:56:20
279,Semey,50.4111,80.2275,73.62,28,0,8.95,KZ,2022-06-07 11:56:20
280,Sitka,57.0531,-135.33,55.29,67,100,6.91,US,2022-06-07 11:52:37
281,Ancud,-41.8697,-73.8203,48.56,95,99,8.39,CL,2022-06-07 11:56:20
282,Kyra,49.5776,111.9753,60.13,50,89,3.74,RU,2022-06-07 11:56:21
283,Kyrylivka,46.3759,35.3675,71.55,60,33,13.35,UA,2022-06-07 11:56:21
284,Pisco,-13.7,-76.2167,62.65,88,100,6.91,PE,2022-06-07 11:56:21
285,Banda Aceh,5.5577,95.3222,81.81,78,99,6.24,ID,2022-06-07 11:56:22
286,Khingansk,49.1167,131.1833,56.14,86,19,3.02,RU,2022-06-07 11:56:22
287,Nouakchott,18.0858,-15.9785,87.73,57,44,7.45,MR,2022-06-07 11:56:22
288,San Jose,37.3394,-121.895,56.21,81,0,1.01,US,2022-06-07 11:56:22
289,Kasganj,27.8167,78.65,112.39,7,5,12.84,IN,2022-06-07 11:56:23
290,Razumnoye,50.5344,36.6846,78.08,36,0,6.71,RU,2022-06-07 11:56:23
291,Jieshi,22.8134,115.8257,80.6,85,100,4.97,CN,2022-06-07 11:56:23
292,Amritsar,31.6331,74.8656,112.82,9,23,12.66,IN,2022-06-07 11:53:18
293,Ouricuri,-7.8825,-40.0817,73.15,66,27,8.37,BR,2022-06-07 11:56:24
